dates,close,AR(1),"ARMA(0,4)","ARMA((1, 0))","ARIMA((1, 0),20.426329388761967*sentiment)"
2020-11-02,34.373814,,36.226729371898564,36.06208691978622,35.8459719733615
2020-11-03,34.335865,35.29653993014002,34.892506075662745,35.09559032812154,35.0953595541353
2020-11-04,35.417458,35.2761482075336,34.787685103654596,35.0738654169847,35.07601041415668
2020-11-05,34.525616,35.857337288380066,35.54822160210782,35.69305200454233,35.62748461260451
2020-11-06,34.535103,35.378110044638404,35.30229343993104,35.18249340752795,35.17275917328296
2020-11-09,37.19165,35.383207840953645,35.123925039850164,35.187924492193034,35.177596330809564
2020-11-10,36.698292,36.810691292820884,37.0664662213709,36.708735251523436,36.53209578436003
2020-11-11,36.527515,36.545587614682944,36.550026896195796,36.42629938473782,36.28054625732183
2020-11-12,35.626186,36.453821370208615,36.647012105093594,36.32853356352473,36.19347181324876
2020-11-13,36.641365,35.96949633015171,36.64176716011893,35.81254388184527,35.7339092164006
2020-11-16,35.417458,36.51499815006423,35.22130325268207,36.39371001436478,36.25152076280121
2020-11-17,36.040001,35.857337288380066,35.75229435820954,35.693052004542324,35.62748461260451
2020-11-18,36.32,36.19185793889962,35.836396035313875,36.04944324947262,35.94490197932593
2020-11-19,36.189999,36.3423141284718,36.907330188015294,36.209736100230295,36.087665684426824
2020-11-20,36.700001,36.2724586822003,36.42034338982548,36.13531358125219,36.0213817890314
2020-11-23,36.52,36.546505938062595,36.39741868335673,36.427277747096056,36.281417628905366
2020-11-24,36.599998,36.44978321912724,36.46341679330451,36.32423140254043,36.18964012369332
2020-11-25,36.459999,36.49276978069851,36.02288166018348,36.370028378511456,36.23042887965553
2020-11-30,38.310001,36.417541954585154,36.947736573888406,36.289882239370876,38.310001664645654
