dates,close,AR(1),"ARMA(0,2)","ARMA((1, 0))","ARIMA((1, 0),316.41938719651006*sentiment)"
2020-11-02,82.400002,,96.5822065523149,99.36483351899203,90.08924405334946
2020-11-03,83.639999,81.68852444361602,86.61602423956997,84.9239713865174,85.79557989348241
2020-11-04,87.269997,83.58200037258916,90.21726224594236,85.97948589025036,86.48799283097388
2020-11-05,93.110001,89.12500881149722,91.49157660274983,89.0694252510082,88.51497965293247
2020-11-06,89.860001,98.04269732131365,96.95672326095956,94.04057350689793,91.77603135273652
2020-11-09,90.309998,93.07994598468727,88.172402507512,91.2740973483813,89.96123498883622
2020-11-10,78.739998,93.76709158875738,94.18030791483974,91.65714533973639,90.21251281017963
2020-11-11,85.010002,76.09969683036742,76.68970459705027,81.80849021541727,83.75183775469453
2020-11-12,90.870003,85.67399551702982,96.61683949705878,87.14566454766458,87.25300097341466
2020-11-13,96.599998,94.62221945407046,94.9895282580525,92.1338347185518,90.52521897564608
2020-11-16,90.650002,103.37192417564356,94.10089073726942,97.01134073575777,93.72484177292822
2020-11-17,92.889999,94.28627783659073,92.94061280081533,91.94656471198263,90.40237066338318
2020-11-18,89.910004,97.70675417683353,93.59566209407959,93.85330264910533,91.65318248207475
2020-11-19,86.400002,93.156300586252,91.07920982074977,91.3166610737211,89.98915660809288
2020-11-20,86.550003,87.79652608869466,86.40966056126908,88.3288651200763,88.02917541828278
2020-11-23,93.980003,88.02557767738551,92.65276343747553,88.45654948630819,88.11293580886168
2020-11-24,95.330002,99.37119073311908,98.68160482983484,94.78113959639386,92.26183949617838
2020-11-25,102.330002,101.43263976133272,92.74037456167272,95.93029038024655,93.01567742739962
2020-11-30,139.5,112.12164264022033,108.02483050166622,101.88885441397463,139.49996013492517
